Browse	Procházet
Installs Breton help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v bretonštině
Ndebele South	Ndebelština (jižní)
Installs Ndebele South help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v jižní ndebelštině
Swazi	Svazijština
Installs Swazi help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve svazijštině
Venda	Luvendština
Installs Venda help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v luvendštině
Kannada	Kannadština
Installs Kannada help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v kannadštině
Tajik	Tádžičtina
Installs Tajik help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v tádžičtině
Kurdish	Kurdština
Installs Kurdish help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v kurdštině
Dzongkha	Dzongkä
Installs Dzongkha help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v dzongkä
Georgian	Gruzínština
Installs Georgian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v gruzínštině
Esperanto	Esperanto
Installs Esperanto help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v esperantu
Gujarati	Gudžarátština
Installs Gujarati help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v gudžarátštině
Guarani	Guaranština
Installs Guarani help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v guaranštině
English (South Africa)	Angličtina (Jižní Afrika)
Installs English (South Africa) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v jihoafrické angličtině
English (United Kingdom)	Angličtina (Velká Británie)
Installs English (United Kingdom) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v britské angličtině
Uzbek	Uzbečtina
Installs Uzbek help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v uzbečtině
Mongolian	Mongolština
Installs Mongolian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v mongolštině
Burmese	Barmština
Installs Burmese (Myanmar) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v barmštině (Myanmar)
Tibetan	Tibetština
Installs Tibetan help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v tibetštině
Occitan	Okcitánština
Installs Occitan help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v okcitánštině
Oromo	Oromština
Installs Oromo help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v oromštině 
Sinhala	Sinhálština
Installs Sinhala help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v sinhálštině
Uyghur	Ujgurština
Installs Uyghur help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v ujgurštině
Assamese	Ásámština
Installs Assamese help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v ásámštině
Bodo	Bodoština
Installs Bodo help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v bodoštině
Dogri	Dógrí
Installs Dogri help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v dógrí
Scottish Gaelic	Skotská gaelština
Installs Scottish Gaelic help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve skotské gaelštině
Kazakh	Kazaština
Installs Kazakh help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v kazaštině
Konkani	Kónkánština
Installs Konkani help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v kónkánštině
Kashmiri	Kašmírština
Installs Kashmiri help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v kašmírštině
Maithili	Maithiliština
Installs Maithili help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v maithilištině
Malayalam	Malabarština
Installs Malayalam help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v malabarštině
Manipuri	Manipurština
Installs Manipuri help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v manipurštině
Sanskrit (India)	Sanskrt (Indie)
Installs Sanskrit help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v indickém sanskrtu
Santali	Santálí
Installs Santali help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v santálí
Sindhi	Sindhština
Installs Sindhi help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v sindhštině
Telugu	Telugština
Installs Telugu help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v telugštině
Sidama	Sidamo
Installs Sidama help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v sidamu
KeyID	KeyID
User interface languages	Jazyky uživatelského rozhraní
Installs the English (United States) user interface	Nainstaluje uživatelské rozhraní v americké angličtině
Installs the German user interface	Nainstaluje uživatelské rozhraní v němčině
Installs the French user interface	Nainstaluje uživatelské rozhraní ve francouzštině
Friulian	Furlanština
Installs the Friulian user interface	Nainstaluje uživatelské rozhraní ve furlanštině
Frisian	Fríština
Installs the Frisian user interface	Nainstaluje uživatelské rozhraní ve fríštině
Installs the Italian user interface	Nainstaluje uživatelské rozhraní v italštině
Installs the Spanish user interface	Nainstaluje uživatelské rozhraní ve španělštině
Installs the Swedish user interface	Nainstaluje uživatelské rozhraní ve švédštině
Installs the Portuguese user interface	Nainstaluje uživatelské rozhraní v portugalštině
Installs the Brazilian Portuguese user interface	Nainstaluje uživatelské rozhraní v brazilské portugalštině
Installs the Japanese user interface	Nainstaluje uživatelské rozhraní v japonštině
Kabyle	Kabylština
Installs the Kabyle user interface	Nainstaluje uživatelské rozhraní v kabylštině
Installs the Korean user interface	Nainstaluje uživatelské rozhraní v korejštině
Chinese (simplified)	Čínština (zjedn.)
Installs the Chinese (simplified) user interface	Nainstaluje uživatelské rozhraní ve zjednodušené čínštině
Installs the Chinese (traditional) user interface	Nainstaluje uživatelské rozhraní v tradiční čínštině
Installs the Dutch user interface	Nainstaluje uživatelské rozhraní v nizozemštině
Lower Sorbian	Dolnolužická srbština
Installs the Lower Sorbian user interface	Nainstaluje uživatelské rozhraní v dolnolužické srbštině
Upper Sorbian	Hornolužická srbština
Installs the Upper Sorbian user interface	Nainstaluje uživatelské rozhraní v hornolužické srbštině
Installs the Hungarian user interface	Nainstaluje uživatelské rozhraní v maďarštině
Installs the Polish user interface	Nainstaluje uživatelské rozhraní v polštině
Installs the Russian user interface	Nainstaluje uživatelské rozhraní v ruštině
Installs the Turkish user interface	Nainstaluje uživatelské rozhraní v turečtině
Installs the Greek user interface	Nainstaluje uživatelské rozhraní v řečtině
Installs the Thai user interface	Nainstaluje uživatelské rozhraní v thajštině
Central Kurdish	Centrální kurdština
Installs the Central Kurdish user interface	Nainstaluje uživatelské rozhraní v centrální kurdštině
Installs the Czech user interface	Nainstaluje uživatelské rozhraní v češtině
Installs the Slovak user interface	Nainstaluje uživatelské rozhraní ve slovenštině
Installs the Croatian user interface	Nainstaluje uživatelské rozhraní v chorvatštině
Installs the Estonian user interface	Nainstaluje uživatelské rozhraní v estonštině
Installs the Vietnamese user interface	Nainstaluje uživatelské rozhraní ve vietnamštině
Installs the Bulgarian user interface	Nainstaluje uživatelské rozhraní v bulharštině
Installs the Khmer user interface	Nainstaluje uživatelské rozhraní v kambodžštině
Installs the Punjabi user interface	Nainstaluje uživatelské rozhraní v paňdžábštině
Installs the Tamil user interface	Nainstaluje uživatelské rozhraní v tamilštině
Installs the Hindi user interface	Nainstaluje uživatelské rozhraní v hindštině
Installs the Southern Sotho (Sutu) user interface	Nainstaluje uživatelské rozhraní v jihosotštině (sutu)
Installs the Tswana user interface	Nainstaluje uživatelské rozhraní ve čwanštině
Installs the Xhosa user interface	Nainstaluje uživatelské rozhraní v xhoštině
Installs the Zulu user interface	Nainstaluje uživatelské rozhraní v zulštině
Installs the Afrikaans user interface	Nainstaluje uživatelské rozhraní v afrikánštině
Installs the Swahili user interface	Nainstaluje uživatelské rozhraní ve svahilštině
Installs the Lao user interface	Nainstaluje uživatelské rozhraní v laoštině
Installs the Burmese (Myanmar) user interface	Nainstaluje uživatelské rozhraní v barmštině (myanmarštině)
Installs the Northern Sotho user interface	Nainstaluje uživatelské rozhraní v severosotštině
Installs the Bengali (Bangladesh) user interface	Nainstaluje uživatelské rozhraní v bengálštině
Installs the Bengali (India) user interface	Nainstaluje uživatelské rozhraní v bengálštině
Installs the Odia user interface	Nainstaluje uživatelské rozhraní v urijštině
Installs the Marathi user interface	Nainstaluje uživatelské rozhraní v maráthštině
Installs the Nepali user interface	Nainstaluje uživatelské rozhraní v nepálštině
Installs the Arabic user interface	Nainstaluje uživatelské rozhraní v arabštině
Installs the Catalan user interface	Nainstaluje uživatelské rozhraní v katalánštině
Installs the Catalan (Valencian) user interface	Nainstaluje uživatelské rozhraní v katalánštině (valencijštině)
Installs the Danish user interface	Nainstaluje uživatelské rozhraní v dánštině
Installs the Finnish user interface	Nainstaluje uživatelské rozhraní ve finštině
Installs the Hebrew user interface	Nainstaluje uživatelské rozhraní v hebrejštině
Installs the Icelandic user interface	Nainstaluje uživatelské rozhraní v islandštině
Installs the Norwegian (Bokmål) user interface	Nainstaluje uživatelské rozhraní v bokmål norštině
Installs the Norwegian (Nynorsk) user interface	Nainstaluje uživatelské rozhraní v nynorsk norštině
Installs the Romanian user interface	Nainstaluje uživatelské rozhraní v rumunštině
Installs the Albanian user interface	Nainstaluje uživatelské rozhraní v albánštině
Installs the Indonesian user interface	Nainstaluje uživatelské rozhraní v indonéštině
Installs the Ukrainian user interface	Nainstaluje uživatelské rozhraní v ukrajinštině
Installs the Belarusian user interface	Nainstaluje uživatelské rozhraní v běloruštině
Installs the Slovenian user interface	Nainstaluje uživatelské rozhraní ve slovinštině
Installs the Latvian user interface	Nainstaluje uživatelské rozhraní v lotyštině
Installs the Lithuanian user interface	Nainstaluje uživatelské rozhraní v litevštině
Installs the Basque user interface	Nainstaluje uživatelské rozhraní v baskičtině
Installs the Macedonian user interface	Nainstaluje uživatelské rozhraní v makedonštině
Installs the Welsh user interface	Nainstaluje uživatelské rozhraní ve velštině
Installs the Galician user interface	Nainstaluje uživatelské rozhraní v galicijštině
Installs the Serbian (Latin) user interface	Nainstaluje uživatelské rozhraní v srbštině (latinka)
Installs the Irish user interface	Nainstaluje uživatelské rozhraní v irštině
Installs the Serbian (Cyrillic) user interface	Nainstaluje uživatelské rozhraní v srbštině (cyrilice)
Installs the Bosnian user interface	Nainstaluje uživatelské rozhraní v bosenštině
Installs the Asturian user interface	Nainstaluje uživatelské rozhraní v asturštině
Installs the Kinyarwanda user interface	Nainstaluje uživatelské rozhraní ve rwandštině
Installs the Persian user interface	Nainstaluje uživatelské rozhraní v perštině
Installs the Tatar user interface	Nainstaluje uživatelské rozhraní v tatarštině
Installs the Tsonga user interface	Nainstaluje uživatelské rozhraní v tsongštině
Installs the Breton user interface	Nainstaluje uživatelské rozhraní v bretonštině
Installs the Ndebele South user interface	Nainstaluje uživatelské rozhraní v jižní ndebelštině
Installs the Swazi user interface	Nainstaluje uživatelské rozhraní ve svazijštině
Installs the Venda user interface	Nainstaluje uživatelské rozhraní v luvendštině
Venetian	Benátština
Installs the Venetian user interface	Nainstaluje uživatelské rozhraní v benátštině
Installs the Kannada user interface	Nainstaluje uživatelské rozhraní v kannadštině
Installs the Tajik user interface	Nainstaluje uživatelské rozhraní v tádžičtině
Installs the Kurdish user interface	Nainstaluje uživatelské rozhraní v kurdštině
Installs the Dzongkha user interface	Nainstaluje uživatelské rozhraní v dzongkä
Installs the Georgian user interface	Nainstaluje uživatelské rozhraní v gruzínštině
Installs the Esperanto user interface	Nainstaluje uživatelské rozhraní v esperantu
Installs the Gujarati user interface	Nainstaluje uživatelské rozhraní v gudžarátštině
Installs the Guarani user interface	Nainstaluje uživatelské rozhraní v guaranštině
Installs the English (South Africa) user interface	Nainstaluje uživatelské rozhraní v jihoafrické angličtině
Installs the English (United Kingdom) user interface	Nainstaluje uživatelské rozhraní v britské angličtině
Installs the Uzbek user interface	Nainstaluje uživatelské rozhraní v uzbečtině
Installs the Mongolian user interface	Nainstaluje uživatelské rozhraní v mongolštině
Installs the Tibetan user interface	Nainstaluje uživatelské rozhraní v tibetštině
Installs the Occitan user interface	Nainstaluje uživatelské rozhraní v okcitánštině
Installs the Oromo user interface	Nainstaluje uživatelské rozhraní v oromštině
Installs the Sinhala user interface	Nainstaluje uživatelské rozhraní v sinhálštině
Installs the Uyghur user interface	Nainstaluje uživatelské rozhraní v ujgurštině
Installs the Assamese user interface	Nainstaluje uživatelské rozhraní v ásámštině
Installs the Bodo user interface	Nainstaluje uživatelské rozhraní v bodoštině
Installs the Dogri user interface	Nainstaluje uživatelské rozhraní v dógrí
Installs the Scottish Gaelic user interface	Nainstaluje uživatelské rozhraní ve skotské gaelštině
Installs the Kazakh user interface	Nainstaluje uživatelské rozhraní v kazaštině
Installs the Konkani user interface	Nainstaluje uživatelské rozhraní v kónkánštině
Installs the Kashmiri user interface	Nainstaluje uživatelské rozhraní v kašmírštině
Installs the Maithili user interface	Nainstaluje uživatelské rozhraní v maithilištině
Installs the Malayalam user interface	Nainstaluje uživatelské rozhraní v malabarštině
Installs the Manipuri user interface	Nainstaluje uživatelské rozhraní v manipurštině
Installs the Sanskrit user interface	Nainstaluje uživatelské rozhraní v sanskrtu
Installs the Santali user interface	Nainstaluje uživatelské rozhraní v santálí
Installs the Sindhi user interface	Nainstaluje uživatelské rozhraní v sindhštině
Installs the Telugu user interface	Nainstaluje uživatelské rozhraní v telugštině
Luxembourgish	Lucemburština
Installs the Luxembourgish user interface	Nainstaluje uživatelské rozhraní v lucemburštině
Amharic	Amharština
Installs the Amharic user interface	Nainstaluje uživatelské rozhraní v amharštině
Installs the Sidama user interface	Nainstaluje uživatelské rozhraní v jazyce sidamo
Silesian	Slezština
Installs the Silesian user interface	Nainstaluje uživatelské rozhraní ve slezštině
%PRODUCTNAME Program Modules	Programové moduly %PRODUCTNAME
List of all installable %PRODUCTNAME modules.	Seznam instalovatelných modulů %PRODUCTNAME.
Optional Components	Volitelné součásti
Aragonese	Aragonština
Belarusian spelling dictionary	Slovník kontroly pravopisu pro běloruštinu
Bengali	Bengálština
Classical Tibetan	Klasická tibetština
Classical Tibetan syllable spelling dictionary	Slovník kontroly pravopisu pro klasickou tibetštinu
Central Kurdish spelling dictionary	Slovník kontroly pravopisu pro centrální kurdštinu
Czech spelling dictionary, hyphenation rules, and thesaurus	Slovník kontroly pravopisu, dělení slov a slovník synonym pro češtinu
English	Angličtina
Esperanto spelling dictionary, hyphenation rules, and thesaurus	Slovník kontroly pravopisu, dělení slov a slovník synonym pro esperanto
Spanish spelling dictionary, hyphenation rules, and thesaurus	Slovník kontroly pravopisu, dělení slov a slovník synonym pro španělštinu
Persian Spell Checking Dictionary	Slovník kontroly pravopisu pro perštinu
Scottish Gaelic spelling dictionary	Slovník kontroly pravopisu pro skotskou gaelštinu
Galician spelling dictionary	Slovník kontroly pravopisu pro galicijštinu
Icelandic spelling dictionary and thesaurus	Slovník kontroly pravopisu a slovník synonym pro islandštinu
Kurdish, Northern, Latin script	Severní kurdština, latinka
Kurdish, Northern, Latin script spelling dictionary	Slovník kontroly pravopisu pro severní kurdštinu, latinku
Korean spelling dictionary	Slovník kontroly pravopisu pro korejštinu
